game_id,genre_id
221286,9
221286,13
221286,31
221286,34
248580,8
248580,10
248580,31
248580,32
7777,8
7777,31
138590,13
138590,32
7858,8
7858,31
279642,31
279642,32
5842,33
29411,4
29411,5
29411,13
29411,25
29411,32
199116,4
199116,5
199116,12
199116,32
199116,33
135998,5
135998,12
135998,31
135998,32
7380,7
7380,33
7658,12
7658,31
228531,5
228531,31
240556,5
100,10
100,13
100,14
7603,13
7603,25
7603,31
7603,32
26602,12
26602,16
26602,31
10233,4
10233,8
10233,32
10233,33
13676,12
119161,10
119161,14
119161,31
1621,4
6782,25
6782,31
314243,5
314243,31
521,12
521,31
8775,10
21349,8
21349,31
36952,5
36952,31
5311,10
5311,14
5311,33
3262,10
3262,31
786,5
786,13
786,24
3772,10
3772,14
3772,32
119402,12
119402,31
380,5
380,24
380,31
79247,30
18735,25
18735,31
5606,12
5606,31
136,5
136,25
136,31
4127,12
9545,5
9545,8
5828,25
5828,31
51267,31
51267,34
121618,5
121618,15
121618,24
555,5
555,31
2695,7
4756,8
4756,12
4756,31
342721,5
214,12
214,31
3450,9
3450,15
3450,33
1465,5
1465,24
1532,10
181,2
181,9
181,31
9540,8
9540,12
9600,12
9600,31
2143,5
171225,12
171225,25
171225,31
6082,7
109826,5
109826,31
109826,32
109826,33
9927,12
9927,31
11162,4
11162,25
27448,5
27448,9
27448,32
193359,8
193359,31
116100,5
116100,8
116100,12
116100,31
116100,32
109532,12
109532,31
553,8
553,31
17460,12
17460,31
299596,12
299596,31
299596,32
127342,31
136604,5
136604,31
1652,25
1956,9
1956,31
7329,5
7329,12
7329,25
7329,31
1820,12
1820,16
1820,31
119285,12
119285,31
119285,32
329130,25
329130,31
5623,4
5623,12
5623,25
5623,31
119342,4
119342,24
119342,25
119342,32
222803,11
222803,15
552,25
552,31
37024,8
37024,31
19626,4
257,11
257,15
3197,12
3197,15
3197,16
37062,12
37062,31
11793,12
13205,13
13205,31
13205,32
4575,12
2594,13
2594,15
2594,31
104,10
104,13
554,10
15620,5
495,5
495,12
22565,8
22565,25
4135,4
4135,14
4135,33
28729,8
28729,33
26183,11
26183,12
26183,13
26183,15
4604,5
4604,33
78,12
78,31
239064,5
239064,10
239064,33
44967,31
7349,5
7349,12
7349,31
11148,5
1284,25
121957,9
121957,35
2927,8
2927,33
222097,8
18150,4
1804,12
1804,16
1804,31
234256,10
234256,31
1262,12
1262,15
1262,31
51311,7
51311,13
51311,32
51311,33
11172,10
11172,33
295252,12
295252,15
2117,5
2117,12
2117,13
2117,24
2117,31
2117,32
2767,8
2767,31
260780,5
4622,5
4622,8
4622,33
11155,31
55072,31
99118,12
8240,5
8240,13
8240,15
8240,24
1970,31
526,10
90099,5
90099,12
90099,24
90099,31
217815,5
217815,24
133004,12
133004,31
20880,12
20880,25
20880,31
20880,32
20880,33
3953,5
3953,9
3953,32
3953,33
19525,8
19525,31
233585,7
233585,8
233585,25
233585,31
5413,5
5413,10
38780,12
38780,15
38780,31
38780,32
325580,8
325580,25
325580,31
325580,32
325580,33
204634,13
204634,31
14363,10
14363,13
14363,14
141229,8
141229,12
141229,13
141229,15
141229,31
141229,32
7351,5
31194,7
31194,32
31194,33
15169,31
218277,9
135254,8
12671,10
20046,12
20046,13
20046,15
20046,16
20046,31
20046,32
165247,5
165247,31
8237,5
8237,10
142803,12
142803,25
142803,31
84,12
84,25
84,31
3247,5
3247,8
3247,31
11177,4
11177,32
2216,12
2216,31
96209,14
81205,31
106980,12
106980,25
106980,31
106980,32
8803,25
16605,5
86389,5
86389,31
102122,14
2062,12
2062,13
2062,14
2062,25
2062,31
1566,4
1566,15
313126,5
313126,33
910,5
910,24
154775,5
154775,12
154775,31
21988,12
21988,31
3068,10
3068,13
3068,14
1594,10
1594,13
158980,12
158980,31
13182,5
13182,31
135995,2
135995,12
135995,31
251833,15
251833,16
251833,32
251833,35
65445,5
65445,31
7071,10
7071,33
252362,8
252362,12
252362,31
252362,32
78173,4
78173,10
6996,5
3217,8
3217,31
509,5
509,10
11131,8
11131,31
19468,8
19468,31
103289,4
103289,8
103289,25
103289,31
1400,2
1400,9
1400,34
1398,2
1398,9
1398,34
276203,9
276203,13
276203,15
276203,32
26196,8
26196,31
1343,12
1343,33
5793,13
5793,33
3191,8
3191,10
3191,14
3191,33
2651,31
77348,8
77348,31
8311,12
8311,25
832,9
832,12
832,15
14761,8
14761,31
14761,32
219442,10
78250,2
78250,31
11182,5
11182,31
11182,32
11182,33
149657,9
149657,15
149657,31
149657,32
152202,31
2634,4
204360,13
204360,31
236,2
236,9
236,31
103291,15
103291,16
103291,24
7291,5
7291,13
2588,13
69721,12
69721,15
1081,12
1081,31
9709,8
9709,14
9709,31
3145,11
3145,15
3145,24
3145,31
24775,12
24775,31
7327,8
7327,9
7327,31
3480,5
3480,8
119305,9
119305,31
119308,31
11119,12
11119,13
11119,15
7275,12
